doctor_id,first_name,last_name,specialization,license_number,department,years_experience,phone,email,consultation_fee
DOC0088,Michael,Morgan,Cardiologist,LIC-294969,Pediatrics,19,555-5410,michael.morgan17@hospitaldocs.com,300.32
DOC0089,Janet,Johnson,General Surgeon,LIC-194578,Oncology,1,555-9086,janet.johnson28@hospitaldocs.com,169.67
DOC0090,Michelle,Murphy,ENT Specialist,LIC-586208,Neurology,22,555-2314,michelle.murphy97@hospitaldocs.com,383.08
DOC0091,Linda,Wright,Urologist,LIC-174852,Ophthalmology,31,555-3975,linda.wright25@hospitaldocs.com,363.49
DOC0092,Steven,Carter,Cardiologist,LIC-227885,General Surgery,25,555-8257,steven.carter32@hospitaldocs.com,308.17
DOC0093,Robert,Sanchez,Pulmonologist,LIC-871041,Pediatrics,34,555-4415,robert.sanchez61@hospitaldocs.com,186.19
DOC0094,Michelle,Adams,Radiologist,LIC-759726,Neurology,34,555-3001,michelle.adams33@hospitaldocs.com,218.43
DOC0095,Joshua,Sanchez,ENT Specialist,LIC-154617,Emergency,8,555-4866,joshua.sanchez82@hospitaldocs.com,201.96
DOC0096,Mary,Perez,Gynecologist,LIC-713099,Pediatrics,26,555-4982,mary.perez2@hospitaldocs.com,389.09
DOC0097,Justin,Stewart,Intensivist,LIC-262520,ENT,6,555-5075,justin.stewart21@hospitaldocs.com,224.97
DOC0098,Debra,Richardson,Psychiatrist,LIC-896456,Neurology,4,555-6824,debra.richardson83@hospitaldocs.com,103.87
DOC0099,Jonathan,Wilson,Oncologist,LIC-611540,General Surgery,21,555-6690,jonathan.wilson57@hospitaldocs.com,306.62
DOC0100,John,Carter,ENT Specialist,LIC-859587,Oncology,17,555-1646,john.carter63@hospitaldocs.com,297.32
DOC0101,Brenda,Nguyen,Ophthalmologist,LIC-830897,Nephrology,13,555-4057,brenda.nguyen70@hospitaldocs.com,171.68
DOC0102,Janet,Reyes,Gynecologist,LIC-971733,ICU,11,555-2128,janet.reyes68@hospitaldocs.com,104.26
DOC0103,Donna,King,Ophthalmologist,LIC-484945,Pulmonology,1,555-9289,donna.king49@hospitaldocs.com,306.78
DOC0104,John,Richardson,ENT Specialist,LIC-913712,ICU,16,555-6254,john.richardson93@hospitaldocs.com,72.17
DOC0105,Jonathan,Roberts,Emergency Medicine Specialist,LIC-649526,Nephrology,10,555-5638,jonathan.roberts42@hospitaldocs.com,193.43
DOC0106,Dorothy,Anderson,Pediatrician,LIC-648615,Orthopedics,3,555-3126,dorothy.anderson23@hospitaldocs.com,355.72
DOC0107,Betty,Wilson,Nephrologist,LIC-300924,Pediatrics,3,555-7366,betty.wilson85@hospitaldocs.com,221.47
DOC0108,Helen,Ramos,Gynecologist,LIC-151470,ENT,15,555-2161,helen.ramos2@hospitaldocs.com,375.57
DOC0109,Anthony,Morales,Orthopedic Surgeon,LIC-590795,Neurology,24,555-7814,anthony.morales48@hospitaldocs.com,327.99
DOC0110,Linda,Ward,Gynecologist,LIC-654718,Neurology,5,555-5979,linda.ward10@hospitaldocs.com,380.61
DOC0111,Eric,Gonzalez,Pediatrician,LIC-860397,General Surgery,35,555-7313,eric.gonzalez25@hospitaldocs.com,117.59
DOC0112,Gregory,Young,Anesthesiologist,LIC-755700,Radiology,27,555-2728,gregory.young99@hospitaldocs.com,273.52
DOC0113,Amanda,Collins,Gastroenterologist,LIC-209159,Radiology,12,555-7579,amanda.collins65@hospitaldocs.com,168.13
DOC0114,Christopher,Morgan,Intensivist,LIC-564531,ENT,21,555-6319,christopher.morgan48@hospitaldocs.com,194.32
DOC0115,Samantha,Parker,Psychiatrist,LIC-737967,General Surgery,35,555-4504,samantha.parker49@hospitaldocs.com,318
DOC0116,Maria,Allen,ENT Specialist,LIC-574379,Pulmonology,26,555-1003,maria.allen93@hospitaldocs.com,62.13
DOC0117,Andrew,Kim,Cardiologist,LIC-642752,Oncology,20,555-1107,andrew.kim39@hospitaldocs.com,394.54
DOC0118,Margaret,Green,Cardiologist,LIC-909000,Gynecology,33,555-3534,margaret.green13@hospitaldocs.com,63.21
DOC0119,Amanda,Martin,Oncologist,LIC-377860,ENT,16,555-4817,amanda.martin33@hospitaldocs.com,333.88
DOC0120,Barbara,Kelly,Urologist,LIC-696707,Emergency,5,555-6319,barbara.kelly62@hospitaldocs.com,110.52
DOC0121,Frank,Kelly,Pediatrician,LIC-724145,Dermatology,3,555-7251,frank.kelly11@hospitaldocs.com,323.04
DOC0122,Jerry,Nelson,ENT Specialist,LIC-956835,Gastroenterology,27,555-2974,jerry.nelson99@hospitaldocs.com,129.35
DOC0123,Katherine,Cox,Cardiologist,LIC-764678,Urology,4,555-5993,katherine.cox68@hospitaldocs.com,64.41
DOC0124,Anna,Reed,Oncologist,LIC-442707,Endocrinology,15,555-3509,anna.reed7@hospitaldocs.com,285.77
DOC0125,Ronald,Edwards,Intensivist,LIC-703198,Endocrinology,6,555-4638,ronald.edwards56@hospitaldocs.com,151.42
DOC0126,Ronald,Jackson,Oncologist,LIC-452497,Orthopedics,31,555-1807,ronald.jackson71@hospitaldocs.com,189.72
DOC0127,David,Phillips,Endocrinologist,LIC-555596,Oncology,9,555-8879,david.phillips72@hospitaldocs.com,119.34
DOC0128,Ronald,Kelly,Emergency Medicine Specialist,LIC-688426,ICU,34,555-5034,ronald.kelly32@hospitaldocs.com,75.08
DOC0129,Diane,Parker,Psychiatrist,LIC-817999,Anesthesiology,6,555-2843,diane.parker86@hospitaldocs.com,194.75
DOC0130,George,Hall,Emergency Medicine Specialist,LIC-436318,ENT,2,555-5994,george.hall22@hospitaldocs.com,395.68
DOC0131,Brandon,Cruz,Intensivist,LIC-252901,Pulmonology,3,555-4825,brandon.cruz26@hospitaldocs.com,289.88
DOC0132,Karen,Hernandez,Pediatrician,LIC-875507,Neurology,16,555-3419,karen.hernandez37@hospitaldocs.com,54.81
DOC0133,Frank,Anderson,Dermatologist,LIC-571923,Nephrology,2,555-6437,frank.anderson27@hospitaldocs.com,309
DOC0134,Margaret,Clark,Ophthalmologist,LIC-648684,Gynecology,31,555-3315,margaret.clark89@hospitaldocs.com,294.56
DOC0135,John,Carter,Anesthesiologist,LIC-795759,Endocrinology,3,555-5185,john.carter22@hospitaldocs.com,71.04
DOC0136,Betty,Richardson,Gynecologist,LIC-155663,Pulmonology,1,555-2091,betty.richardson50@hospitaldocs.com,281.13
DOC0137,Gregory,Campbell,Pediatrician,LIC-120005,Dermatology,25,555-4787,gregory.campbell49@hospitaldocs.com,227.99
DOC0138,Patrick,Gonzalez,Psychiatrist,LIC-608205,ICU,35,555-2442,patrick.gonzalez24@hospitaldocs.com,119.61
DOC0139,Ryan,Bailey,Cardiologist,LIC-141683,General Surgery,34,555-5995,ryan.bailey43@hospitaldocs.com,221.48
DOC0140,Maria,Lee,Cardiologist,LIC-463625,ENT,23,555-5953,maria.lee31@hospitaldocs.com,398.6
DOC0141,Nicholas,Scott,Neurologist,LIC-756190,Gynecology,25,555-1482,nicholas.scott72@hospitaldocs.com,382.19
DOC0142,Mark,Martin,Psychiatrist,LIC-511929,Oncology,6,555-7262,mark.martin67@hospitaldocs.com,386.21
DOC0143,Brandon,Robinson,Gastroenterologist,LIC-352036,Anesthesiology,10,555-7987,brandon.robinson40@hospitaldocs.com,368.41
DOC0144,Kevin,Edwards,Ophthalmologist,LIC-238173,Emergency,9,555-9869,kevin.edwards88@hospitaldocs.com,330.04
DOC0145,Sarah,Flores,Endocrinologist,LIC-241822,Gastroenterology,10,555-3589,sarah.flores41@hospitaldocs.com,73.73
DOC0146,Jonathan,Thomas,Radiologist,LIC-433025,Oncology,2,555-6221,jonathan.thomas53@hospitaldocs.com,386.42
DOC0147,Joshua,Cruz,Gynecologist,LIC-259338,Emergency,7,555-3155,joshua.cruz24@hospitaldocs.com,59.17
DOC0148,Brandon,Ward,Gynecologist,LIC-735022,Anesthesiology,15,555-4804,brandon.ward30@hospitaldocs.com,290.58
DOC0149,Amanda,Hernandez,Nephrologist,LIC-240600,Endocrinology,31,555-7126,amanda.hernandez24@hospitaldocs.com,348.25
DOC0150,Gary,Stewart,Oncologist,LIC-271742,Emergency,15,555-1528,gary.stewart53@hospitaldocs.com,317.59
DOC0151,Mary,Wright,Gastroenterologist,LIC-333365,Emergency,14,555-2083,mary.wright23@hospitaldocs.com,374.49
DOC0152,Jeffrey,Ward,Nephrologist,LIC-821276,Psychiatry,30,555-5043,jeffrey.ward55@hospitaldocs.com,191.7
DOC0153,Jennifer,Cox,Urologist,LIC-855185,Psychiatry,26,555-9784,jennifer.cox68@hospitaldocs.com,274.49
DOC0154,Patrick,Jones,Endocrinologist,LIC-214626,Pulmonology,30,555-1694,patrick.jones32@hospitaldocs.com,231.55
DOC0155,Ronald,Garcia,Ophthalmologist,LIC-506216,Endocrinology,4,555-4110,ronald.garcia38@hospitaldocs.com,203.84
DOC0156,Joshua,Torres,Pulmonologist,LIC-274573,Gastroenterology,19,555-1893,joshua.torres89@hospitaldocs.com,230.94
DOC0157,Charles,Reyes,Pulmonologist,LIC-194834,Endocrinology,8,555-3945,charles.reyes75@hospitaldocs.com,378.24
DOC0158,Rachel,Cooper,Oncologist,LIC-512160,Gastroenterology,21,555-8387,rachel.cooper4@hospitaldocs.com,112.61
DOC0159,Emma,Sanchez,Pulmonologist,LIC-194560,Gynecology,21,555-3686,emma.sanchez92@hospitaldocs.com,306.64
DOC0160,Barbara,Anderson,Pulmonologist,LIC-764873,ENT,6,555-9582,barbara.anderson91@hospitaldocs.com,184.43
DOC0161,Angela,Ward,Radiologist,LIC-497073,Ophthalmology,25,555-1719,angela.ward99@hospitaldocs.com,109.81
DOC0162,Kevin,Reed,Oncologist,LIC-269999,Oncology,12,555-1840,kevin.reed54@hospitaldocs.com,157.82
DOC0163,Janet,Edwards,Dermatologist,LIC-756883,Radiology,8,555-3155,janet.edwards26@hospitaldocs.com,51.24
DOC0164,Heather,Allen,Cardiologist,LIC-580921,Nephrology,32,555-9904,heather.allen1@hospitaldocs.com,262.79
DOC0165,Amy,Walker,Emergency Medicine Specialist,LIC-717466,Nephrology,30,555-7719,amy.walker57@hospitaldocs.com,77.79
DOC0166,Scott,Smith,General Surgeon,LIC-673929,Gynecology,14,555-1801,scott.smith24@hospitaldocs.com,101.89
DOC0167,Katherine,Hall,Neurologist,LIC-252436,Neurology,20,555-6424,katherine.hall12@hospitaldocs.com,67.16
DOC0168,Rebecca,Thompson,Radiologist,LIC-804737,Dermatology,12,555-8460,rebecca.thompson96@hospitaldocs.com,252.64
DOC0169,Robert,Lopez,Dermatologist,LIC-438503,ENT,25,555-2108,robert.lopez98@hospitaldocs.com,199.56
DOC0170,Stephen,Rodriguez,Dermatologist,LIC-593687,Oncology,8,555-5496,stephen.rodriguez43@hospitaldocs.com,234.47
DOC0171,Shirley,Clark,Emergency Medicine Specialist,LIC-741784,Neurology,7,555-9666,shirley.clark12@hospitaldocs.com,219.28
DOC0172,Frank,Cox,Dermatologist,LIC-547798,ICU,21,555-5254,frank.cox68@hospitaldocs.com,251.3
DOC0173,Helen,Rivera,Oncologist,LIC-744129,Anesthesiology,32,555-9514,helen.rivera94@hospitaldocs.com,271.15
DOC0174,Amy,White,Intensivist,LIC-344026,Dermatology,13,555-1025,amy.white16@hospitaldocs.com,58.4
DOC0175,Benjamin,Thomas,Emergency Medicine Specialist,LIC-938403,ICU,27,555-7783,benjamin.thomas6@hospitaldocs.com,166.83
DOC0176,Brenda,Ramirez,Cardiologist,LIC-771736,Emergency,19,555-5168,brenda.ramirez9@hospitaldocs.com,157.72
DOC0177,Nicholas,Peterson,Psychiatrist,LIC-904291,Cardiology,8,555-6460,nicholas.peterson44@hospitaldocs.com,188.62
DOC0178,Larry,Ward,Cardiologist,LIC-972460,Radiology,13,555-6415,larry.ward44@hospitaldocs.com,372.8
DOC0179,Kathleen,Stewart,Neurologist,LIC-777015,Oncology,31,555-3545,kathleen.stewart81@hospitaldocs.com,211.22
DOC0180,Jonathan,Nelson,Pulmonologist,LIC-922072,Gastroenterology,4,555-9537,jonathan.nelson39@hospitaldocs.com,247.73
DOC0181,Alexander,Green,Ophthalmologist,LIC-661916,Cardiology,14,555-6434,alexander.green46@hospitaldocs.com,73.17
DOC0182,Karen,Scott,Cardiologist,LIC-455627,Urology,35,555-3719,karen.scott74@hospitaldocs.com,261.99
DOC0183,Lisa,Kim,Pediatrician,LIC-920347,Dermatology,21,555-1518,lisa.kim35@hospitaldocs.com,194.85
DOC0184,Amy,Walker,ENT Specialist,LIC-573858,Dermatology,14,555-9603,amy.walker39@hospitaldocs.com,111.25
DOC0185,Melissa,Jones,Emergency Medicine Specialist,LIC-197102,Pulmonology,33,555-1408,melissa.jones62@hospitaldocs.com,366.73
DOC0186,Karen,Harris,Psychiatrist,LIC-606957,Endocrinology,20,555-6363,karen.harris19@hospitaldocs.com,319.32
DOC0187,Richard,Gutierrez,Oncologist,LIC-315154,Neurology,30,555-7350,richard.gutierrez92@hospitaldocs.com,352.68
DOC0188,Joseph,Smith,Dermatologist,LIC-146168,ICU,6,555-6460,joseph.smith60@hospitaldocs.com,361.22
DOC0189,Susan,Gutierrez,Dermatologist,LIC-123572,Anesthesiology,20,555-4438,susan.gutierrez42@hospitaldocs.com,120.19
DOC0190,Andrew,Scott,Ophthalmologist,LIC-434652,Pulmonology,8,555-5467,andrew.scott20@hospitaldocs.com,105.12
DOC0191,Joseph,Johnson,Intensivist,LIC-686810,Endocrinology,7,555-4384,joseph.johnson70@hospitaldocs.com,172.61
DOC0192,Kenneth,Wright,Oncologist,LIC-838568,Dermatology,16,555-3806,kenneth.wright10@hospitaldocs.com,158.98
DOC0193,Carol,Cooper,Pulmonologist,LIC-153190,Oncology,2,555-8712,carol.cooper87@hospitaldocs.com,67.66
DOC0194,Deborah,Miller,Orthopedic Surgeon,LIC-547181,Urology,12,555-8304,deborah.miller79@hospitaldocs.com,174.47
DOC0195,Kevin,Sanchez,Ophthalmologist,LIC-182361,Pulmonology,9,555-2522,kevin.sanchez90@hospitaldocs.com,213.9
DOC0196,Ryan,Flores,Pulmonologist,LIC-593403,General Surgery,15,555-3354,ryan.flores79@hospitaldocs.com,140.32
DOC0197,George,Gomez,Radiologist,LIC-833599,Psychiatry,21,555-8426,george.gomez63@hospitaldocs.com,60.59
DOC0198,Jacob,Anderson,ENT Specialist,LIC-601903,Pulmonology,11,555-5624,jacob.anderson99@hospitaldocs.com,172.02
DOC0199,Pamela,Taylor,Endocrinologist,LIC-207932,Urology,7,555-6339,pamela.taylor72@hospitaldocs.com,277.31
DOC0200,Joshua,Morgan,Pulmonologist,LIC-520286,Anesthesiology,27,555-4908,joshua.morgan80@hospitaldocs.com,135.29
DOC0201,Christopher,Morris,Urologist,LIC-169268,Psychiatry,14,555-8063,christopher.morris56@hospitaldocs.com,248.52
DOC0202,Carol,Cooper,General Surgeon,LIC-281493,Orthopedics,32,555-2873,carol.cooper76@hospitaldocs.com,258.63
DOC0203,Dorothy,Bailey,Pediatrician,LIC-961953,Pulmonology,12,555-6046,dorothy.bailey52@hospitaldocs.com,74.36
DOC0204,Susan,Kim,Urologist,LIC-443312,Nephrology,4,555-2483,susan.kim28@hospitaldocs.com,335.96
DOC0205,Justin,Smith,Oncologist,LIC-792984,Oncology,29,555-9704,justin.smith38@hospitaldocs.com,186.49
DOC0206,Pamela,Edwards,Emergency Medicine Specialist,LIC-315651,Psychiatry,20,555-5989,pamela.edwards56@hospitaldocs.com,301.23
DOC0207,Brian,Lopez,Anesthesiologist,LIC-108513,ICU,33,555-7622,brian.lopez17@hospitaldocs.com,348.38
DOC0208,Linda,Mitchell,Ophthalmologist,LIC-155708,Cardiology,23,555-2797,linda.mitchell37@hospitaldocs.com,352.99
DOC0209,Donald,Parker,Anesthesiologist,LIC-513420,Psychiatry,25,555-7652,donald.parker49@hospitaldocs.com,202.32
DOC0210,Margaret,Thompson,Nephrologist,LIC-245824,Emergency,25,555-6902,margaret.thompson54@hospitaldocs.com,103.99
DOC0211,Christine,Taylor,Oncologist,LIC-112166,Orthopedics,2,555-3359,christine.taylor93@hospitaldocs.com,359.71
DOC0212,Gregory,Parker,Oncologist,LIC-188776,Oncology,27,555-8471,gregory.parker90@hospitaldocs.com,261.55
DOC0213,Jason,Richardson,Radiologist,LIC-576467,Endocrinology,28,555-8373,jason.richardson50@hospitaldocs.com,174.36
